date,United Kingdom,United Arab Emirates,Turkey,Switzerland,Sweden,Spain,Slovenia,Portugal,Netherlands,Mexico,Lithuania,Kuwait,Ireland,Hungary,Germany,France,Finland,Denmark,Colombia,Chile,Bulgaria,Belgium,Austria,Saudi Arabia,Romania,Paraguay,Norway,Israel,Greece,Estonia,Czech Republic,Uruguay,Ukraine,Tunisia,Taiwan,South Korea,South Africa,Slovakia,Singapore,Puerto Rico,New Zealand,Malaysia,Latvia,Japan,Italy,Croatia,Canada,Brazil,Australia,Argentina,Lebanon,Jordan,China
01-01-2005,13810.129999999997,0.0,776.5999999999999,2376.13,6396.33,12344.35,118.71,1094.67,6929.42,1341.63,0.0,0.0,2210.63,0.0,18514.21,14733.47,2208.31,2196.0,0.0,87.75999999999999,0.0,2545.2999999999997,2400.35,0.0,0.0,0.0,4593.6,0.0,4271.320000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9154.57,3.33,0.0,0.0,1788.27,0.0,0.0,0.0,0.0
01-02-2005,12978.94,0.0,997.3499999999999,2392.78,6498.23,12796.609999999999,135.1,1116.33,6955.58,1385.98,0.0,0.0,2269.6400000000003,0.0,18421.82,15192.37,2225.36,2262.4,0.0,92.49,0.0,5389.97,2420.74,0.0,0.0,0.0,4752.13,0.0,4475.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9049.06,6.79,0.0,0.0,1654.1399999999999,0.0,0.0,0.0,0.0
01-03-2005,15562.34,0.0,1781.48,2449.24,6569.08,14017.539999999999,139.53,1112.37,7598.25,1439.44,0.0,0.0,2326.2400000000002,0.0,19724.91,18666.44,2783.6,2357.23,0.0,94.67,0.0,5975.7699999999995,2486.0299999999997,0.0,0.0,0.0,4880.92,0.0,4704.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9432.6,6.35,0.0,0.0,1827.19,0.0,0.0,0.0,0.0
01-04-2005,15129.099999999999,0.0,1683.38,2513.26,6651.23,14220.0,142.73,1123.69,7827.65,1558.23,0.0,0.0,2410.71,0.0,20665.15,20745.08,2759.2400000000002,2442.89,0.0,99.19,0.0,5849.040000000001,2540.14,0.0,0.0,0.0,4951.610000000001,0.0,4900.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9969.45,4.28,0.0,0.0,2039.8400000000001,0.0,0.0,0.0,0.0
01-05-2005,15343.48,0.0,1951.5500000000002,2572.67,6739.589999999999,14526.96,143.10999999999999,1141.48,8247.57,1579.4299999999998,0.0,0.0,2501.8099999999995,0.0,20749.260000000002,21840.61,3070.08,2541.0600000000004,0.0,103.32000000000001,0.0,6031.6900000000005,2643.2200000000003,0.0,0.0,0.0,5027.67,0.0,5078.139999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10552.8,6.27,0.0,0.0,2063.28,0.0,0.0,0.0,0.0
01-06-2005,17110.050000000003,0.0,2315.3399999999997,2629.17,6897.5199999999995,15945.550000000001,142.98000000000002,1169.55,8607.48,1651.2900000000002,0.0,0.0,2574.2099999999996,0.0,21347.379999999997,21456.760000000002,3555.9400000000005,2605.7799999999997,0.0,103.18,0.0,6402.22,2758.8999999999996,0.0,0.0,0.0,5262.950000000001,0.0,5244.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10983.630000000001,6.78,0.0,0.0,2149.83,0.0,0.0,0.0,0.0
01-07-2005,15554.69,0.0,2232.06,2685.65,6927.59,15026.85,148.03,1187.8600000000001,8673.96,1891.5500000000002,0.0,0.0,2666.43,0.0,21747.910000000003,22633.75,3194.9600000000005,2624.72,0.0,0.0,0.0,6315.709999999999,2878.29,0.0,0.0,0.0,5266.4400000000005,0.0,5430.570000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11442.41,6.93,0.0,0.0,2259.87,0.0,0.0,0.0,0.0
01-08-2005,16457.27,0.0,2318.03,2745.91,7139.5,13747.119999999999,176.20999999999998,1214.74,9157.960000000001,1959.6200000000001,0.0,0.0,2771.8100000000004,0.0,21266.420000000002,21260.4,2722.44,2694.6000000000004,0.0,108.21,0.0,6385.650000000001,2931.0,0.0,0.0,0.0,5338.85,0.0,5444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11390.72,4.42,0.0,0.0,2538.5400000000004,0.0,0.0,0.0,0.0
01-09-2005,17968.01,0.0,2726.04,2804.39,7336.200000000001,15332.89,166.53,1242.25,9469.08,2052.88,0.0,0.0,2873.6099999999997,0.0,23831.08,21657.57,3167.04,2800.59,0.0,111.16,0.0,6689.66,2987.8,0.0,0.0,0.0,5367.75,0.0,5601.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12138.08,4.75,0.0,0.0,2634.5,0.0,0.0,0.0,0.0
01-10-2005,16713.98,0.0,2342.2,2870.17,7467.3,14951.769999999999,168.88,1257.69,9487.4,2117.58,0.0,0.0,2918.48,0.0,22608.489999999998,21331.79,2937.3,2904.4,0.0,118.99000000000001,0.0,6659.24,3086.8599999999997,0.0,0.0,0.0,5480.200000000001,0.0,5752.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12469.529999999999,6.72,0.0,0.0,2654.0600000000004,0.0,0.0,0.0,0.0
01-11-2005,18019.69,0.0,2457.55,2938.44,7613.030000000001,17512.22,22.200000000000003,1273.51,9888.36,2148.71,0.0,0.0,3031.36,0.0,24406.7,23193.97,3380.0600000000004,3011.3999999999996,0.0,120.78,0.0,6847.58,3764.55,0.0,0.0,0.0,5561.68,0.0,5911.540000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13161.069999999998,5.23,0.0,0.0,2889.25,0.0,0.0,0.0,0.0
01-12-2005,17023.59,0.0,2848.69,3018.8399999999997,7684.17,17573.86,177.9,1303.6200000000001,10396.529999999999,2148.35,0.0,0.0,3094.65,0.0,27500.870000000003,20314.42,4626.08,3113.89,2191.66,127.56,0.0,7008.349999999999,3863.0299999999997,178.86,0.0,0.0,5734.6,0.0,6057.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13476.26,8.14,0.0,0.0,3039.61,1242.37,0.0,0.0,0.0
01-01-2006,18703.57,0.0,2550.71,3095.7200000000003,7763.0,17790.02,174.95,1311.79,10860.29,2227.04,0.0,0.0,3144.4300000000003,0.0,26377.89,23690.1,3013.65,3213.14,2232.16,134.66,0.0,7143.99,3978.76,194.1,0.0,0.0,5733.82,0.0,6210.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.459999999999999,0.0,0.0,0.0,0.0,0.0,13824.53,6.18,0.0,0.0,3493.3300000000004,1275.52,0.0,0.0,0.0
01-02-2006,17226.62,0.0,2901.5199999999995,3179.34,7795.089999999999,17099.690000000002,226.74,1328.1,10132.09,2160.9700000000003,0.0,0.0,3218.9300000000003,0.0,25544.86,24736.440000000002,3237.0000000000005,3298.04,2267.98,134.69,0.0,7259.4,4091.83,210.70000000000002,0.0,0.0,5861.24,0.0,6343.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.19,0.0,0.0,0.0,0.0,0.0,14286.650000000001,7.44,0.0,0.0,2763.3099999999995,1343.8899999999999,0.0,0.0,0.0
01-03-2006,20484.82,0.0,3308.0300000000007,3258.98,7860.780000000001,19938.909999999996,182.23000000000002,1349.84,11630.07,2295.09,0.0,0.0,3289.48,0.0,28685.949999999997,23259.75,3868.1,3396.89,2299.55,135.6,0.0,7374.299999999999,4255.799999999999,227.51,0.0,0.0,5921.21,0.0,6485.949999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.280000000000001,0.0,0.0,0.0,0.0,0.0,14776.340000000002,9.37,0.0,0.0,3658.41,1398.5199999999998,0.0,0.0,0.0
01-04-2006,19688.27,0.0,3154.73,3342.15,7913.299999999999,19307.23,227.85000000000002,1372.13,10879.849999999999,2271.41,0.0,0.0,3369.05,0.0,26213.39,27001.07,3564.1600000000003,3502.7200000000003,2332.33,136.52,0.0,7490.52,4374.639999999999,244.23999999999998,0.0,0.0,6036.62,0.0,6619.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.07,0.0,0.0,0.0,0.0,0.0,15095.43,8.79,0.0,0.0,3336.03,1451.77,0.0,0.0,0.0
01-05-2006,20231.08,0.0,3713.7,3448.23,8013.07,19995.73,187.53,1398.53,11922.77,2276.2200000000003,0.0,0.0,3441.8199999999997,0.0,29421.94,29414.370000000003,3713.7299999999996,3620.45,2358.1000000000004,144.4,0.0,7650.900000000001,4533.030000000001,261.72,718.11,0.0,6081.83,0.0,6819.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.48,0.0,0.0,0.0,0.0,0.0,15673.069999999998,10.05,0.0,0.0,3836.91,1489.84,0.0,0.0,0.0
01-06-2006,20396.29,0.0,3952.330000000001,3551.54,8082.349999999999,20507.539999999997,237.86,1405.04,12287.980000000001,2502.1800000000003,0.0,0.0,3581.8599999999997,0.0,29451.57,25556.43,4167.93,3716.51,2391.5299999999997,147.25,0.0,7821.63,4664.64,277.56,869.9599999999999,0.0,6070.219999999999,0.0,7068.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.329999999999998,0.0,0.0,0.0,0.0,0.0,16106.039999999999,7.83,0.0,0.0,3566.6,1526.43,0.0,0.0,0.0
01-07-2006,20690.78,0.0,3497.6900000000005,3637.36,8099.929999999999,21063.960000000003,235.2,1407.97,11737.53,2341.25,0.0,0.0,3684.6899999999996,0.0,29733.8,29770.060000000005,3613.5600000000004,3764.43,2415.9700000000003,152.76,0.0,7964.69,4792.23,288.3,733.75,0.0,6232.91,0.0,7262.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.129999999999999,0.0,0.0,0.0,0.0,0.0,16547.7,16.44,0.0,0.0,3787.1,1559.14,0.0,0.0,0.0
01-08-2006,21351.949999999997,0.0,3748.92,3719.89,8113.13,20397.129999999997,237.21,1417.7099999999998,12472.84,2461.8199999999997,0.0,0.0,3772.5699999999997,0.0,31007.97,24024.07,4437.4800000000005,3871.05,2456.6299999999997,154.09,0.0,8072.94,4885.67,304.99,618.2,0.0,6305.879999999999,0.0,7287.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.959999999999999,0.0,0.0,0.0,0.0,0.0,16727.48,11.71,0.0,0.0,4214.200000000001,1612.59,0.0,0.0,0.0
01-09-2006,21435.58,0.0,3693.9399999999996,3832.4700000000003,8184.240000000001,21029.55,260.35,1440.5,12188.939999999999,2599.86,0.0,0.0,3839.6600000000003,0.0,31139.87,24636.020000000004,4310.85,3983.91,2491.99,162.94,0.0,8210.59,4953.650000000001,325.96,815.0,0.0,5927.009999999999,0.0,7439.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.07,0.0,0.0,0.0,0.0,0.0,17867.14,6.07,0.0,0.0,3884.9500000000003,1666.6399999999999,0.0,0.0,0.0
01-10-2006,21986.11,0.0,3457.87,3929.91,8260.66,21511.420000000002,258.75,1444.5300000000002,12753.96,2669.2999999999997,0.0,0.0,3926.9900000000002,0.0,30996.199999999997,25075.47,4404.23,4103.610000000001,2529.09,162.15,0.0,8300.71,5024.13,347.71999999999997,769.6300000000001,0.0,6531.07,0.0,7615.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.91,0.0,0.0,0.0,0.0,0.0,19131.38,22.540000000000003,0.0,0.0,2698.39,1722.25,0.0,0.0,0.0
01-11-2006,23327.94,0.0,4338.24,4019.64,8334.61,21449.54,276.49,1472.67,13090.689999999999,2718.06,0.0,0.0,3974.4,0.0,33372.65,25410.11,4371.75,4199.9400000000005,2645.23,173.0,0.0,8416.66,5130.88,369.87,857.9799999999999,0.0,6386.91,0.0,7838.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.92,0.0,0.0,0.0,0.0,0.0,19754.860000000004,21.48,0.0,0.0,4703.73,1726.1200000000001,0.0,0.0,0.0
