,United Kingdom,United Arab Emirates,Turkey,Switzerland,Sweden,Spain,Slovenia,Portugal,Netherlands,Mexico,Lithuania,Kuwait,Ireland,Hungary,Germany,France,Finland,Denmark,Colombia,Chile,Bulgaria,Belgium,Austria,Saudi Arabia,Romania,Paraguay,Norway,Israel,Greece,Estonia,Czech Republic,Uruguay,Ukraine,Tunisia,Taiwan,South Korea,South Africa,Slovakia,Singapore,Puerto Rico,New Zealand,Malaysia,Latvia,Japan,Italy,Croatia,Canada,Brazil,Australia,Argentina,Lebanon,Jordan,China
,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
197,-0.01,-0.01,-0.01,-0.01,-0.01,67327,-0.01,-0.01,-0.01,18862.2,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,9801.35,12395.29,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14662.45,785.56,7696.57,-0.01,-0.01,-0.01,9511.76,-0.01,-0.01,6595.42,465.2,-0.01,-0.01,497.68,-0.01,102773.38,51496.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
198,-0.01,-0.01,-0.01,-0.01,-0.01,67359.57,-0.01,-0.01,-0.01,18415.92,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14492.9,12398.68,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14651.29,810.05,-0.01,-0.01,-0.01,-0.01,9644.06,-0.01,-0.01,6619.19,493.87,-0.01,-0.01,522.53,-0.01,110649.11,53525.52,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
199,-0.01,-0.01,-0.01,-0.01,-0.01,68297.33,-0.01,-0.01,-0.01,19230.94,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12399.64,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14640.48,807.8,-0.01,-0.01,-0.01,-0.01,9724.99,-0.01,-0.01,6677.35,494.59,-0.01,-0.01,523.04,-0.01,126793.81,53422.11,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
200,-0.01,-0.01,-0.01,-0.01,-0.01,69956.3,-0.01,-0.01,-0.01,19290.15,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12394.07,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14643.86,812.87,-0.01,-0.01,-0.01,-0.01,9717.86,-0.01,-0.01,6735.46,496.3,-0.01,-0.01,525.01,-0.01,112010.83,52916.11,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
201,-0.01,-0.01,-0.01,-0.01,-0.01,69286.8,-0.01,-0.01,-0.01,20206.89,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12389.05,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14637.83,815.01,-0.01,-0.01,-0.01,-0.01,9763.17,-0.01,-0.01,6781.19,495.32,-0.01,-0.01,577.71,-0.01,104046.28,49789.27,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
202,-0.01,-0.01,-0.01,-0.01,-0.01,64521.89,-0.01,-0.01,-0.01,19840.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12407.93,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14620.97,812.67,-0.01,-0.01,-0.01,-0.01,9803.16,-0.01,-0.01,6809.16,495.35,-0.01,-0.01,578.54,-0.01,121413,46858.52,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
203,-0.01,-0.01,-0.01,-0.01,-0.01,64224,-0.01,-0.01,-0.01,19442.32,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12392.93,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14613.81,838.4,-0.01,-0.01,-0.01,-0.01,9843.44,-0.01,-0.01,6838.16,494.41,-0.01,-0.01,580.55,-0.01,113643.75,47489.94,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
204,-0.01,-0.01,-0.01,-0.01,-0.01,66201.29,-0.01,-0.01,-0.01,17695.33,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12391.43,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14609.84,870.75,-0.01,-0.01,-0.01,-0.01,10013.89,-0.01,-0.01,6870.51,423.08,-0.01,-0.01,558.83,-0.01,105787.41,49256.17,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
205,-0.01,-0.01,-0.01,-0.01,-0.01,66254.37,-0.01,-0.01,-0.01,18500.08,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12380.49,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14585.4,903.03,-0.01,-0.01,-0.01,-0.01,10069.4,-0.01,-0.01,6908.74,423.89,-0.01,-0.01,559.4,-0.01,121060.87,48230.51,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
206,-0.01,-0.01,-0.01,-0.01,-0.01,67492.76,-0.01,-0.01,-0.01,18923.68,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,12367.06,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,14568.64,911.15,-0.01,-0.01,-0.01,-0.01,10117.03,-0.01,-0.01,6963.12,423.85,-0.01,-0.01,560.39,-0.01,108893.73,48335.13,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
